database_name,database_owner,database_start_time,schema_name,schema_owner,schema_create_time,table_name,table_owner,table_create_time,column_name,column_type,column_length,column_default_value,column_nullable,column_numeric_precision,column_numeric_scale,column_id
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,occupation,varchar(64),64,,t,,,45035996273707150-15
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,store_membership_card,int,8,,t,,,45035996273707150-17
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,title,varchar(8),8,,t,,,45035996273707150-5
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,calendar_half_year,int,8,,t,,,45035996273707162-17
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,calendar_month_name,varchar(9),9,,t,,,45035996273707162-12
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,calendar_month_number_in_year,int,8,,t,,,45035996273707162-13
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,calendar_quarter,int,8,,t,,,45035996273707162-15
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,calendar_week_number_in_year,int,8,,t,,,45035996273707162-11
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,calendar_year,int,8,,t,,,45035996273707162-18
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,calendar_year_month,char(7),7,,t,,,45035996273707162-14
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,calendar_year_quarter,char(7),7,,t,,,45035996273707162-16
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,date,date,8,,t,,,45035996273707162-2
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,date_key,int,8,,f,,,45035996273707162-1
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,day_number_in_calendar_month,int,8,,t,,,45035996273707162-5
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,day_number_in_calendar_year,int,8,,t,,,45035996273707162-6
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,day_number_in_fiscal_month,int,8,,t,,,45035996273707162-7
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,day_number_in_fiscal_year,int,8,,t,,,45035996273707162-8
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,day_of_week,varchar(9),9,,t,,,45035996273707162-4
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,full_date_description,varchar(18),18,,t,,,45035996273707162-3
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,holiday_indicator,varchar(10),10,,t,,,45035996273707162-19
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,last_day_in_month_indicator,int,8,,t,,,45035996273707162-10
